"","Neighborhood","Age 10 or less (%)","Age 11 to 18 (%)","Age 19 to 34 (%)","Age 35 to 49 (%)","Age 50 to 64 (%)","Age 65 and up (%)","Median Age","Square Miles","Diversity Index","Bachelor's Degree (%)","Four-year Degrees (%)","High School Diploma (%)","Less Than High School (%)","Masters Degree or Higher (%)","Some College (%)","Asian Population (%)","Black Population (%)","Latino Population (%)","Non-White Population (%)","White Population (%)","Foreign Born Population (%)","Median income 125k and up (%)","Median income 20k income or less (%)","Median income 20k to 40k income (%)","Median income 40k to 60k income (%)","Median income 60k to 125k income (%)","Percent of Households (%)","Median Income ($)","Divorced Females (%)","Divorced Males (%)","Married Females (%)","Married Males (%)","Never Married Females (%)","Never Married Males (%)","Widowed Females (%)","Widowed Males (%)","1975-1990 (%)","1990-1999 (%)","Vietnam (%)","World War II or Korea (%)","Homeowners (%)","Population per Sqmi","Population Total"
"1","Acton",0.163,0.159,0.125,0.312,0.161,0.08,37,39.3,0.316,0.11,0.166,0.278,0.154,0.057,0.402,0.015,0.008,0.124,0.183,0.817,0.071,3,0.157,0.094,0.167,0.175,0.309,83983,0.11,0.103,0.642,0.631,0.197,0.233,0.05,0.032,0.122,0.09,0.339,0.439,0.878,"166","6,522"
"2","Adams-Normandie",0.189,0.137,0.295,0.207,0.091,0.082,26,0.8,0.545,0.058,0.095,0.158,0.574,0.037,0.173,0.052,0.248,0.622,0.944,0.056,0.467,3.2,0.02,0.434,0.28,0.118,0.093,29606,0.076,0.067,0.418,0.443,0.412,0.466,0.093,0.024,0.138,0.085,0.295,0.456,0.206,"21,848","17,596"
"3","Agoura Hills",0.162,0.16,0.128,0.299,0.188,0.063,37,8.1,0.304,0.305,0.484,0.12,0.052,0.179,0.344,0.062,0.008,0.07,0.172,0.828,0.135,3,0.292,0.049,0.104,0.12,0.414,117608,0.122,0.057,0.626,0.637,0.204,0.296,0.047,0.01,0.137,0.023,0.346,0.481,0.84,"2,495","20,324"
"4","Agua Dulce",0.137,0.129,0.116,0.342,0.215,0.061,40,31.5,0.282,0.159,0.207,0.267,0.123,0.048,0.403,0.002,0.002,0.109,0.161,0.839,0.044,2.9,0.151,0.085,0.098,0.107,0.535,106078,0.03,0.078,0.756,0.685,0.164,0.23,0.049,0.006,0.179,0.029,0.309,0.483,0.874,"99","3,130"
"5","Alhambra",0.138,0.101,0.261,0.236,0.133,0.132,35,7.6,0.631,0.191,0.275,0.196,0.27,0.084,0.259,0.472,0.014,0.355,0.862,0.138,0.508,2.8,0.047,0.235,0.257,0.189,0.24,53224,0.089,0.066,0.5,0.559,0.304,0.353,0.107,0.022,0.103,0.103,0.239,0.548,0.392,"11,275","85,961"
"6","Alondra Park",0.202,0.098,0.246,0.25,0.118,0.086,32,1.1,0.748,0.112,0.168,0.239,0.257,0.056,0.335,0.149,0.19,0.349,0.736,0.264,0.321,2.9,0.048,0.224,0.228,0.178,0.283,57177,0.1,0.105,0.524,0.528,0.284,0.344,0.092,0.024,0.19,0.169,0.31,0.331,0.517,"7,548","8,604"
"7","Altadena",0.162,0.112,0.169,0.273,0.163,0.121,37,8.7,0.702,0.219,0.392,0.152,0.151,0.173,0.305,0.042,0.31,0.203,0.604,0.396,0.187,2.8,0.156,0.132,0.192,0.151,0.338,82676,0.124,0.071,0.539,0.578,0.244,0.329,0.094,0.021,0.113,0.055,0.275,0.543,0.746,"4,900","42,680"
"8","Angeles Crest",0.108,0.066,0.202,0.31,0.206,0.107,41,430.5,0.452,0.122,0.241,0.242,0.123,0.119,0.394,0.024,0.104,0.117,0.277,0.723,0.074,2.3,0.124,0.172,0.145,0.163,0.298,72841,0.113,0.151,0.597,0.512,0.167,0.316,0.122,0.021,0.223,0.058,0.436,0.283,0.882,"3","1,175"
"9","Arcadia",0.122,0.125,0.168,0.259,0.168,0.157,40,11.2,0.62,0.271,0.444,0.167,0.103,0.173,0.285,0.454,0.008,0.099,0.597,0.403,0.436,2.7,0.152,0.138,0.198,0.168,0.298,75808,0.098,0.059,0.561,0.622,0.23,0.295,0.111,0.024,0.057,0.034,0.24,0.659,0.623,"4,749","52,951"
"10","Arleta",0.191,0.138,0.251,0.22,0.118,0.081,29,3.1,0.455,0.086,0.113,0.195,0.487,0.027,0.205,0.11,0.022,0.717,0.868,0.132,0.46,4,0.062,0.135,0.255,0.225,0.304,65649,0.061,0.046,0.546,0.543,0.305,0.389,0.088,0.022,0.102,0.116,0.245,0.532,0.804,"10,034","31,068"
"11","Arlington Heights",0.19,0.112,0.272,0.222,0.118,0.086,31,1,0.6,0.102,0.139,0.178,0.466,0.037,0.217,0.129,0.245,0.566,0.953,0.047,0.498,3,0.044,0.424,0.253,0.113,0.118,31421,0.08,0.058,0.464,0.495,0.359,0.424,0.097,0.023,0.176,0.102,0.289,0.425,0.184,"21,423","22,096"
"12","Artesia",0.165,0.121,0.226,0.225,0.134,0.128,33,1.6,0.706,0.136,0.188,0.234,0.34,0.052,0.238,0.276,0.03,0.383,0.739,0.261,0.458,3.4,0.059,0.16,0.267,0.217,0.269,60538,0.08,0.05,0.531,0.569,0.266,0.36,0.124,0.021,0.121,0.086,0.298,0.471,0.565,"10,036","16,380"
"13","Athens",0.238,0.122,0.235,0.197,0.136,0.073,27,1.3,0.547,0.097,0.125,0.188,0.386,0.028,0.301,0.029,0.543,0.397,0.988,0.012,0.28,3.4,0.032,0.284,0.232,0.184,0.236,48824,0.086,0.085,0.455,0.509,0.369,0.39,0.089,0.016,0.071,0.086,0.348,0.489,0.559,"6,829","9,101"
"14","Atwater Village",0.149,0.099,0.263,0.22,0.152,0.117,34,1.8,0.645,0.172,0.226,0.16,0.33,0.054,0.285,0.197,0.014,0.513,0.778,0.222,0.493,2.7,0.034,0.201,0.28,0.214,0.227,53872,0.095,0.073,0.485,0.515,0.337,0.389,0.084,0.023,0.14,0.108,0.209,0.534,0.404,"8,379","14,888"
"15","Avalon",0.184,0.132,0.229,0.227,0.13,0.098,31,2.7,0.543,0.139,0.202,0.243,0.244,0.063,0.31,0.015,0.003,0.458,0.504,0.496,0.246,2.6,0.039,0.118,0.2,0.124,0.143,53200,0.141,0.084,0.511,0.539,0.238,0.364,0.109,0.012,0.137,0.021,0.333,0.5,0.272,"1,159","3,181"
"16","Avocado Heights",0.194,0.13,0.25,0.204,0.128,0.093,30,2.9,0.362,0.066,0.091,0.218,0.433,0.025,0.258,0.085,0.007,0.787,0.89,0.11,0.371,3.9,0.062,0.164,0.232,0.224,0.303,64544,0.065,0.05,0.556,0.554,0.299,0.375,0.08,0.021,0.098,0.124,0.346,0.416,0.723,"5,907","17,415"
"17","Azusa",0.202,0.133,0.303,0.199,0.093,0.07,26,9.9,0.521,0.099,0.142,0.199,0.393,0.043,0.266,0.056,0.034,0.647,0.764,0.236,0.34,3.3,0.03,0.224,0.263,0.202,0.239,53299,0.1,0.061,0.467,0.502,0.367,0.417,0.066,0.02,0.155,0.149,0.268,0.405,0.504,"4,496","44,384"
"18","Baldwin Hills/Crenshaw",0.171,0.104,0.21,0.215,0.152,0.149,36,2.9,0.457,0.154,0.241,0.22,0.214,0.087,0.326,0.047,0.713,0.173,0.967,0.033,0.166,2.3,0.048,0.352,0.241,0.134,0.172,37948,0.155,0.109,0.336,0.449,0.374,0.407,0.135,0.035,0.123,0.041,0.248,0.579,0.309,"10,446","30,123"
"19","Baldwin Park",0.223,0.143,0.26,0.209,0.104,0.061,25,6.8,0.36,0.074,0.09,0.211,0.525,0.016,0.175,0.118,0.014,0.787,0.926,0.074,0.457,4.2,0.035,0.194,0.264,0.234,0.245,56585,0.066,0.048,0.552,0.542,0.308,0.394,0.074,0.016,0.139,0.177,0.285,0.396,0.607,"11,176","75,753"
